negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches,price
1,5,2,101,15,3000.0,15.0,16800000.0
1,2,1,166,6,2850.0,5.2,7000000.0
0,4,2,166,4,2850.0,15.0,50000000.0
0,7,5,166,4,2850.0,5.25,23500000.0
0,5,2,133,4,2850.0,9.0,25000000.0
1,4,1,13,9,2850.0,10.0,7500000.0
1,4,3,166,4,3800.0,32.0,161000000.0
0,3,1,155,9,2850.0,10.5,8800000.0
1,3,1,89,4,2850.0,10.0,13000000.0
0,3,1,66,6,2850.0,11.0,13500000.0
0,4,3,42,6,2850.0,15.0,22000000.0
0,1,1,105,4,2850.0,48.0,16000000.0
1,5,2,42,6,2850.0,13.5,25000000.0
1,5,1,126,9,2500.0,12.75,17000000.0
0,2,1,73,9,2850.0,10.0,4500000.0
0,2,1,76,10,2850.0,12.0,9000000.0
0,3,2,166,4,2350.0,6.17,43000000.0
0,3,1,166,4,2850.0,6.2,17000000.0
0,2,1,166,6,2850.0,7.0,11500000.0
1,2,1,100,14,2850.0,10.5,3900000.0
1,4,1,92,13,2850.0,252.0,12500000.0
0,4,4,61,4,2850.0,6.5,32500000.0
0,2,1,166,4,2850.0,10.0,19000000.0
0,6,1,50,6,2850.0,15.0,14000000.0
0,1,1,166,4,2850.0,7.5,50000000.0
0,5,3,166,4,4850.0,8.0,65000000.0
1,4,2,166,4,2850.0,12.5,40000000.0
0,1,1,92,13,2850.0,11.0,20000000.0
0,3,1,166,4,2850.0,12.5,37000000.0
1,3,1,50,6,2850.0,160.0,45000000.0
0,3,1,50,6,2850.0,10.0,160000000.0
1,2,1,57,7,2850.0,22.0,7000000.0
1,1,1,126,9,2850.0,11.0,17800000.0
1,2,1,166,4,1200.0,10.0,19500000.0
0,2,2,166,4,2850.0,12.5,10000000.0
1,3,3,166,4,2850.0,18.45,120000000.0
1,3,1,81,6,2850.0,10.0,22000000.0
0,3,1,97,2,2850.0,54.0,3800000.0
0,2,1,166,4,2850.0,12.0,15000000.0
1,3,1,166,13,2850.0,19.6,25000000.0
0,3,2,50,6,2850.0,14.0,14000000.0
0,1,1,119,6,2850.0,20.5,6500000.0
1,3,2,8,4,1550.0,20.0,31000000.0
0,1,1,73,9,2850.0,10.3,6000000.0
1,5,3,133,4,2850.0,10.0,35000000.0
0,1,1,126,9,2850.0,11.0,25000000.0
1,4,1,100,14,2850.0,11.0,6000000.0
1,3,2,8,4,1200.0,10.0,25500000.0
0,3,1,42,6,2850.0,15.0,6800000.0
1,2,1,79,11,2850.0,5.2,7000000.0
0,5,5,87,4,2850.0,6.0,62500000.0
0,4,2,33,4,2850.0,8.0,39000000.0
1,3,1,64,6,2850.0,10.5,11500000.0
1,3,2,166,4,1432.0,11.0,53000000.0
0,7,3,50,6,2850.0,17.0,30000000.0
0,2,1,133,4,2850.0,4.3,5000000.0
0,5,2,166,4,2850.0,4.0,25000000.0
1,3,2,64,6,2850.0,7.9,17000000.0
0,6,4,81,6,2850.0,32.0,55000000.0
1,3,2,78,6,2850.0,8.0,21000000.0
0,1,1,166,4,2850.0,15.0,8000000.0
0,2,1,92,13,2850.0,22.0,1950000.0
0,2,1,61,4,900.0,5.5,6300000.0
0,3,1,126,9,2850.0,10.0,9000000.0
0,5,4,166,4,2850.0,20.0,75000000.0
0,3,2,166,4,2850.0,10.0,19000000.0
1,3,3,66,6,2805.24,13.5,36000000.0
1,3,2,96,4,2850.0,6.3,37500000.0
1,4,1,62,9,3000.0,60.0,45000000.0
0,5,3,166,4,3000.0,13.5,65000000.0
1,4,1,48,5,1400.0,20.0,40000000.0
0,3,2,8,4,2850.0,20.0,24000000.0
0,4,1,92,13,2850.0,14.5,15000000.0
1,4,2,50,6,2850.0,30.0,13000000.0
0,3,2,33,4,2500.0,17.5,180000000.0
